# timestamp t_x t_y t_z q_x q_y q_z q_w
250005 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 1.000000000000000
266672 -0.316676082666644 -0.002735185514930 -0.045173289547981 -0.000933013561220 0.050510723876911 -0.000426643681756 0.998722991742102
283339 -0.337414546644867 -0.002883610386193 -0.050526705157205 -0.000974139673095 0.053858225553481 -0.000460123312788 0.998548011303745
300006 -0.358069101147567 -0.003049794915817 -0.056224906279222 -0.001023780841905 0.057216864590558 -0.000455658214874 0.998361144403569
316673 -0.378644908243189 -0.003172745904921 -0.062150629915903 -0.001061809370622 0.060567233024989 -0.000476764962389 0.998163441295927
333340 -0.399257937578334 -0.003169508282132 -0.068377769814019 -0.001066819561572 0.063953842432489 -0.000493595788657 0.997952165335263
350007 -0.419734059331299 -0.003169701747795 -0.074873017122211 -0.001065470743163 0.067329359848685 -0.000494697937400 0.997730112479528
366674 -0.439942542371855 -0.003223443672038 -0.081617812199766 -0.001080829503035 0.070656439434679 -0.000504936424328 0.997499997199602
383341 -0.460680019892041 -0.003226670876095 -0.088532229168816 -0.001080779343432 0.074146487483775 -0.000520722614999 0.997246639080718
400008 -0.480853120394802 -0.003579046130509 -0.095823426269958 -0.001178485192848 0.077518401674407 -0.000569796404489 0.996990062090166
416675 -0.501191097653020 -0.003845797849602 -0.103356745468372 -0.001239884225007 0.080953953572609 -0.000576772017001 0.996716904352541
433342 -0.521330180643901 -0.004100732741700 -0.111159019364373 -0.001303560513541 0.084359325894825 -0.000589302921599 0.996434371941587
450009 -0.541213873110529 -0.004137117407347 -0.119325437883038 -0.001311508119511 0.087729678120142 -0.000581236338876 0.996143285721340
466676 -0.560958881467248 -0.004218201372294 -0.127809825677730 -0.001324446034454 0.091107240558034 -0.000569834535600 0.995840043304749
483343 -0.580808322294488 -0.004087168317930 -0.136345533744037 -0.001279692564532 0.094549668603134 -0.000551060482226 0.995519170526777
500010 -0.600248935472005 -0.004381058503889 -0.145314066653534 -0.001358183169489 0.097914672665538 -0.000570807412437 0.995193723048019
516677 -0.619392131488131 -0.004138386836061 -0.154476250609870 -0.001285229981637 0.101235899939336 -0.000552465598008 0.994861465496141
533344 -0.638210371881027 -0.003025518994739 -0.162962615844852 -0.000979006494868 0.104432913458964 -0.000560579018709 0.994531293566934
550011 -0.657277118611581 -0.003065821304170 -0.172768951115831 -0.000991017232445 0.107760173451192 -0.000588822001417 0.994176250063974
566678 -0.676020042503037 -0.003096068123572 -0.182952427759761 -0.000985940484510 0.111067147630564 -0.000624226454597 0.993812219174178
583345 -0.695035248141407 -0.003636108726412 -0.193183325319969 -0.001130704780838 0.114472979463568 -0.000639621211900 0.993425512740707
600012 -0.713809070648678 -0.003771406044732 -0.203749553512975 -0.001164503650839 0.117848637196013 -0.000648257680553 0.993030675459862
616679 -0.732261363406665 -0.003346060499550 -0.214771835781825 -0.001036870550077 0.121174267998951 -0.000623706691396 0.992630511652923
633346 -0.750696889213913 -0.003559874063629 -0.225898206283862 -0.001079791958774 0.124558571229290 -0.000655447496969 0.992211452650705
650013 -0.768862620513576 -0.003658018943649 -0.237242385979019 -0.001101899620527 0.127921099342128 -0.000632736290781 0.991783533743687
666680 -0.786938070103578 -0.003341261637645 -0.248847677764536 -0.001023644065342 0.131286755263127 -0.000639625467212 0.991343699694798
683347 -0.804620669980418 -0.003222151025104 -0.260749314460435 -0.000979667637255 0.134579756182120 -0.000646835960930 0.990902069369381
700014 -0.822350844710206 -0.003049971351284 -0.272837187923345 -0.000931217190681 0.137951262626880 -0.000658786928263 0.990438361521794
716681 -0.839555494231409 -0.002870003226209 -0.285281637824724 -0.000882186187324 0.141246684157200 -0.000669000383692 0.989973811977172
733348 -0.856743623117693 -0.003098849536607 -0.298107767586144 -0.000924517333508 0.144540329921485 -0.000646815919525 0.989498266761016
750015 -0.874178524737968 -0.003081739732385 -0.311092541549947 -0.000901901705116 0.147899114165292 -0.000668489611628 0.989001815834569
766682 -0.891545319552950 -0.003829145993803 -0.324292284689758 -0.001084293852921 0.151299906042611 -0.000692916113574 0.988487067495371
783349 -0.908096690372015 -0.003592043093805 -0.337588562440131 -0.001021624195126 0.154597757321178 -0.000692397399907 0.987976725586745
800016 -0.924588595326377 -0.003432733668910 -0.351226632045164 -0.000971892370303 0.157932957585628 -0.000734392826726 0.987449085776402
816683 -0.940642994864316 -0.003853922386928 -0.365173141652197 -0.001073723566000 0.161222730048132 -0.000771504090875 0.986917161272905
833350 -0.956548568232047 -0.004119288613981 -0.379307508446658 -0.001126989657130 0.164504644890470 -0.000751474040582 0.986375378337547
850017 -0.971774538082397 -0.004139246164588 -0.393885360711946 -0.001116396389686 0.167688169822010 -0.000735569183093 0.985839180748474
866684 -0.988422753713858 -0.004245312567662 -0.407904781472729 -0.001145945669270 0.171302595894451 -0.000750210055274 0.985217511330984
883351 -1.003368693899254 -0.004287203860540 -0.422843770416898 -0.001139867682765 0.174496462703372 -0.000712495782461 0.984656883160544
900018 -1.019276586237824 -0.003795981848690 -0.437655418772435 -0.001012395687343 0.177954570379414 -0.000673594715775 0.984037952624902
916685 -1.034722644854113 -0.003018849986012 -0.452994463145041 -0.000821473720975 0.181298179603861 -0.000630249373162 0.983427627250211
933352 -1.049755922939303 -0.003817885345952 -0.468567155183855 -0.001016349090398 0.184616406490700 -0.000696161235593 0.982809882351883
950019 -1.064356147775463 -0.003343153418644 -0.484254206269984 -0.000895085956785 0.187922116308729 -0.000692279943565 0.982183281150549
966686 -1.078934201309907 -0.003476905582976 -0.500126070375277 -0.000913943910837 0.191291098319941 -0.000689726935359 0.981532681415567
983353 -1.092852299256643 -0.003038635183335 -0.516216823124537 -0.000793042043833 0.194538248657676 -0.000692026039511 0.980894368417661
1000020 -1.106660245070912 -0.004047304854708 -0.532591343194052 -0.000998176722657 0.197833425126282 -0.000802321453797 0.980234816677269
1016687 -1.120576542941575 -0.004542948214516 -0.548972324098770 -0.001096658038460 0.201232904407495 -0.000814396179921 0.979542470893290
1033354 -1.134191435950466 -0.005212728069435 -0.565936421000756 -0.001254106715093 0.204507795465535 -0.000797151158200 0.978863807360455
